Month,New_User,DAU,D1_Ret (%),D7_Ret (%),D30_Ret (%),Avg_Session,Playtime/Day (minute),Paying_User,Gross_Rev,ARPPU,ARPDAU,Conv_Rate (%)
Jan-17,160402,20389,35.92,7.95,2.24,5,15,700,1955.34,2.79,0.1,0.44
Feb-17,110829,17035,34.82,8.26,2.36,5,14,780,1216.28,1.56,0.07,0.7
Mar-17,116097,15639,34.87,7.71,1.61,4,14,670,1294.07,1.93,0.08,0.58
Apr-17,101066,14716,34.84,8.48,1.9,4,13,570,1190.11,2.09,0.08,0.56
May-17,119965,15510,34.72,7.87,2.05,5,15,573,1255.6,2.19,0.08,0.48
Jun-17,94217,14645,34.84,7.11,1.7,5,13,890,1145.08,1.29,0.08,0.94
Jul-17,69633,10370,32.74,6.73,1.4,5,12,250,772.78,3.09,0.07,0.36
Aug-17,47090,7361,32.07,6.66,1.35,4,10,220,472.34,2.15,0.06,0.47
Sep-17,35245,5881,30.53,5.68,1.34,3,14,210,415.48,1.98,0.07,0.6
Oct-17,33472,5001,30.89,5.81,1.51,4,12,211,368.48,1.75,0.07,0.63
Nov-17,31808,4661,31.38,5.81,1.49,4,11,102,445.96,4.37,0.1,0.32
Dec-17,17433,3552,29.15,5.19,0.11,3,10,102,374.79,3.67,0.11,0.59
